year,city,country,avg_temp
1939,Barcelona,Spain,16.01
1940,Barcelona,Spain,16.01
1941,Barcelona,Spain,15.57
1942,Barcelona,Spain,16.26
1943,Barcelona,Spain,16.88
1944,Barcelona,Spain,16.05
1945,Barcelona,Spain,16.84
1946,Barcelona,Spain,16.19
1947,Barcelona,Spain,17.08
1948,Barcelona,Spain,16.90
1949,Barcelona,Spain,17.18
1950,Barcelona,Spain,16.86
1951,Barcelona,Spain,15.88
1952,Barcelona,Spain,16.66
1953,Barcelona,Spain,16.41
1954,Barcelona,Spain,15.99
1955,Barcelona,Spain,16.72
1956,Barcelona,Spain,15.34
1957,Barcelona,Spain,15.89
1958,Barcelona,Spain,16.50
1959,Barcelona,Spain,16.46
1960,Barcelona,Spain,16.16
1961,Barcelona,Spain,17.04
1962,Barcelona,Spain,16.09
1963,Barcelona,Spain,15.77
1964,Barcelona,Spain,16.54
1965,Barcelona,Spain,16.02
1966,Barcelona,Spain,16.52
1967,Barcelona,Spain,16.54
1968,Barcelona,Spain,16.47
1969,Barcelona,Spain,15.78
1970,Barcelona,Spain,16.35
1971,Barcelona,Spain,16.07
1972,Barcelona,Spain,15.54
1973,Barcelona,Spain,16.10
1974,Barcelona,Spain,15.89
1975,Barcelona,Spain,16.02
1976,Barcelona,Spain,15.98
1977,Barcelona,Spain,16.07
1978,Barcelona,Spain,16.05
1979,Barcelona,Spain,16.36
1980,Barcelona,Spain,15.86
1981,Barcelona,Spain,16.56
1982,Barcelona,Spain,16.95
1983,Barcelona,Spain,16.83
1984,Barcelona,Spain,15.90
1985,Barcelona,Spain,16.45
1986,Barcelona,Spain,16.61
1987,Barcelona,Spain,16.80
1988,Barcelona,Spain,17.00
1989,Barcelona,Spain,17.43
1990,Barcelona,Spain,17.30
1991,Barcelona,Spain,16.37
1992,Barcelona,Spain,16.35
1993,Barcelona,Spain,16.28
1994,Barcelona,Spain,17.51
1995,Barcelona,Spain,17.33
1996,Barcelona,Spain,16.72
1997,Barcelona,Spain,17.66
1998,Barcelona,Spain,17.15
1999,Barcelona,Spain,17.14
2000,Barcelona,Spain,17.15
2001,Barcelona,Spain,17.27
2002,Barcelona,Spain,17.16
2003,Barcelona,Spain,17.73
2004,Barcelona,Spain,17.12
2005,Barcelona,Spain,16.69
2006,Barcelona,Spain,17.81
2007,Barcelona,Spain,17.24
2008,Barcelona,Spain,16.92
2009,Barcelona,Spain,17.45
2010,Barcelona,Spain,16.51
2011,Barcelona,Spain,17.90
2012,Barcelona,Spain,17.51
2013,Barcelona,Spain,17.00
